Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Thomas Robinet,68,71,67,62,67,34,71,France,Eredivisie,Almere City FC,28,"180cm / 5'11""",72kg / 159lb,ST
Carlos Robles,68,52,48,60,57,64,75,Colombia,Libertadores,Dep. Táchira,32,"185cm / 6'1""",81kg / 179lb,CDM
Paulo Henrique,68,71,50,64,62,65,70,Portugal,Liga Portugal,Santa Clara,27,"182cm / 6'0""",76kg / 168lb,LB
Thiago Rodrigues,68,67,62,69,68,27,68,Brazil,Liga Portugal,Arouca,28,"185cm / 6'1""",75kg / 165lb,GK
Júlio Romão,68,59,44,57,70,64,81,Brazil,Liga Azerbaijan,Qarabağ FK,26,"193cm / 6'4""",88kg / 194lb,CDM
Ronaldo Tavares,68,77,66,46,57,26,78,Portugal,K League 1,FC Seoul,27,"192cm / 6'4""",85kg / 187lb,ST
Kevin Rodríguez,68,80,66,57,69,25,67,Ecuador,1A Pro League,R. Union St.-G.,24,"190cm / 6'3""",72kg / 159lb,ST
Valentín Rodríguez,68,79,58,63,71,63,67,Uruguay,Primera División,Gimnasia,23,"173cm / 5'8""",71kg / 157lb,LB
Lucas Rodríguez,68,75,55,64,67,64,67,Argentina,Primera División,Instituto,30,"169cm / 5'7""",68kg / 150lb,LB
Martín Rodríguez,68,81,61,66,70,43,60,Chile,MLS,D.C. United,30,"170cm / 5'7""",78kg / 172lb,LM
Salomón Rodríguez,68,60,68,56,63,31,68,Uruguay,Primera División,Godoy Cruz,24,"187cm / 6'2""",81kg / 179lb,ST
Andy,68,52,65,68,66,67,73,Spain,LALIGA HYPERMOTION,FC Cartagena,34,"185cm / 6'1""",79kg / 174lb,CM
Riki,68,71,65,66,72,56,60,Spain,LALIGA HYPERMOTION,Albacete BP,26,"175cm / 5'9""",70kg / 154lb,CM
Maximiliano Rodríguez Vejar,68,67,66,53,65,24,64,Chile,Libertadores,Huachipato,24,"185cm / 6'1""",82kg / 181lb,ST
Miguel Rodríguez,68,79,57,64,68,33,53,Spain,Eredivisie,FC Utrecht,21,"179cm / 5'10""",73kg / 161lb,RM
Žan Rogelj,68,79,51,63,68,58,64,Slovenia,1A Pro League,Sp. Charleroi,24,"175cm / 5'9""",65kg / 143lb,RM
Maximilian Rohr,68,59,52,60,60,67,73,Germany,Bundesliga 2,SV Elversberg,29,"193cm / 6'4""",85kg / 187lb,CB
Rodrigo Rojas,68,69,66,69,69,65,74,Paraguay,Sudamericana,Sportivo Luqueño,36,"180cm / 5'11""",77kg / 170lb,CM
Joao Rojas,68,75,58,66,73,32,70,Ecuador,Sudamericana,ADT,35,"173cm / 5'8""",64kg / 141lb,CAM
Joao Rojas,68,81,66,64,69,51,55,Ecuador,Libertadores,Barcelona SC,27,"175cm / 5'9""",70kg / 154lb,LM
Enzo Roldán,68,72,66,65,67,62,63,Argentina,Primera División,Unión,23,"176cm / 5'9""",72kg / 159lb,CM
Nicolás Romero,68,60,45,55,56,68,68,Argentina,Primera División,Atlético Tucumán,20,"186cm / 6'1""",81kg / 179lb,CB
Connor Ronan,68,67,65,70,71,54,47,Republic of Ireland,MLS,Colorado Rapids,26,"170cm / 5'7""",70kg / 154lb,CM
Sandro Cruz,68,80,33,60,63,63,64,Angola,Liga Portugal,Gil Vicente,23,"182cm / 6'0""",77kg / 170lb,LB
Michael Rose,68,70,39,58,60,68,73,Scotland,EFL Championship,Stoke City,28,"188cm / 6'2""",70kg / 154lb,CB
Carlos Ross,68,83,60,63,66,41,62,Chile,Sudamericana,Sport Huancayo,33,"176cm / 5'9""",69kg / 152lb,RW
Nicolás Rossi,68,64,67,56,70,22,69,Uruguay,Sudamericana,S. Ameliano,26,"186cm / 6'1""",77kg / 170lb,GK
Bryan Rovira,68,55,54,61,60,68,79,Colombia,Sudamericana,Deportes Tolima,27,"177cm / 5'10""",82kg / 181lb,CDM
Donat Rrudhani,68,75,68,62,69,36,70,Kosovo,CSSL,FC Luzern,25,"188cm / 6'2""",78kg / 172lb,RM
Tobías Rubio,68,76,41,58,69,66,74,Argentina,Sudamericana,Racing Club,20,"177cm / 5'10""",71kg / 157lb,CB
Alex Rufer,68,64,58,66,66,63,78,New Zealand,A-League,Well. Phoenix,28,"184cm / 6'0""",75kg / 165lb,CDM
Víctor Ruiz,68,68,61,71,74,52,58,Spain,CSSL,FC St. Gallen,30,"173cm / 5'8""",66kg / 146lb,CM
Haibrany Ruíz Díaz,68,64,37,59,60,68,71,Uruguay,Libertadores,Dep. Táchira,32,"177cm / 5'10""",74kg / 163lb,CB
Patrick William,68,58,61,65,59,67,74,Brazil,Liga Portugal,Rio Ave FC,27,"187cm / 6'2""",79kg / 174lb,CB
Armando Sadiku,68,65,69,50,63,38,65,Albania,ISL,FC Goa,33,"183cm / 6'0""",80kg / 176lb,ST
Görkem Sağlam,68,71,63,67,70,59,66,Turkey,Trendyol Süper Lig,Hatayspor,26,"178cm / 5'10""",72kg / 159lb,CAM
José Sagredo,68,80,44,56,61,66,73,Bolivia,Libertadores,Bolívar,30,"180cm / 5'11""",76kg / 168lb,CB
Ömer Ali Şahiner,68,74,67,66,71,62,70,Turkey,Trendyol Süper Lig,Başakşehir,32,"175cm / 5'9""",70kg / 154lb,RB
Rafiki Saïd,68,80,65,59,73,24,49,Netherlands,Ligue 2 BKT,ESTAC Troyes,24,"178cm / 5'10""",73kg / 161lb,LM
Oliver Sail,68,75,69,50,69,49,61,New Zealand,A-League,Perth Glory,28,"194cm / 6'4""",80kg / 176lb,GK
Víctor Salazar,68,86,54,59,66,62,70,Argentina,Sudamericana,Olimpia,31,"175cm / 5'9""",67kg / 148lb,RB
João Graça,68,67,57,68,70,64,66,Portugal,Liga Portugal,Rio Ave FC,29,"177cm / 5'10""",73kg / 161lb,CM
Eddie Salcedo,68,78,66,60,75,39,55,Italy,Serie A Enilive,Lombardia FC,22,"178cm / 5'10""",74kg / 163lb,ST
Saúl Salcedo,68,54,33,43,53,70,70,Paraguay,Primera División,Newell's,27,"183cm / 6'0""",75kg / 165lb,CB
Ronivaldo,68,72,71,54,66,22,65,Brazil,Ö. Bundesliga,Blau-Weiss Linz,35,"173cm / 5'8""",76kg / 168lb,ST
Raphael Sallinger,68,69,68,64,68,44,68,Austria,Ö. Bundesliga,TSV Hartberg,28,"196cm / 6'5""",85kg / 187lb,GK
Brian Salvareschi,68,55,33,47,52,67,75,Argentina,Primera División,Godoy Cruz,25,"188cm / 6'2""",84kg / 185lb,CB
Piotr Samiec-Talar,68,84,63,64,66,31,61,Poland,PKO BP Ekstraklasa,Śląsk Wrocław,22,"185cm / 6'1""",78kg / 172lb,RM
Luciano Sánchez,68,76,56,62,70,65,70,Argentina,Sudamericana,Argentinos Jrs.,30,"169cm / 5'7""",66kg / 146lb,LM
Felipe Sánchez,68,61,40,50,55,68,74,Argentina,Bundesliga 2,FC Schalke 04,20,"184cm / 6'0""",78kg / 172lb,CB
Niklas Sandberg,68,70,64,65,67,51,67,Norway,Eliteserien,Sarpsborg 08,29,"183cm / 6'0""",73kg / 161lb,RM
Nazim Sangaré,68,80,47,60,68,64,67,Turkey,Trendyol Süper Lig,Göztepe,30,"185cm / 6'1""",73kg / 161lb,RB
Kaishū Sano,68,71,50,63,71,67,60,Japan,Bundesliga,1. FSV Mainz 05,23,"176cm / 5'9""",67kg / 148lb,CM
Kodai Sano,68,67,56,67,71,59,64,Japan,Eredivisie,N.E.C. Nijmegen,20,"176cm / 5'9""",66kg / 146lb,LM
Benjamin Santelli,68,85,64,54,67,26,67,France,Ligue 2 BKT,AC Ajaccio,32,"180cm / 5'11""",77kg / 170lb,ST
Simone Santoro,68,80,60,67,70,65,67,Italy,Serie BKT,Modena,24,"181cm / 5'11""",74kg / 163lb,CM
Pedro Amador,68,72,46,66,68,63,61,Portugal,MLS,Atlanta United,25,"181cm / 5'11""",73kg / 161lb,LB
Franco Saravia,68,66,64,61,70,20,67,Peru,Libertadores,Alianza Lima,25,"175cm / 5'9""",75kg / 165lb,GK
Andrés Sarmiento,68,72,65,59,71,27,63,Colombia,Liga Colombia,Atl. Nacional,26,"178cm / 5'10""",60kg / 132lb,LM
Amin Sarr,68,85,65,58,68,25,67,Sweden,Serie A Enilive,Hellas Verona,23,"188cm / 6'2""",83kg / 183lb,ST
Nikolas Sattlberger,68,53,39,61,61,66,70,Austria,1A Pro League,KRC Genk,20,"191cm / 6'3""",73kg / 161lb,CDM
Fernando Saucedo,68,49,61,67,65,67,57,Bolivia,Libertadores,Bolívar,34,"173cm / 5'8""",69kg / 152lb,CM
Allahyar Sayyadmanesh,68,86,66,57,69,47,77,Iran,1A Pro League,KVC Westerlo,23,"180cm / 5'11""",77kg / 170lb,LM
Amine Sbaï,68,76,62,61,74,27,50,Morocco,ROSHN Saudi League,Al Fateh,23,"175cm / 5'9""",68kg / 150lb,LW
Dan Scarr,68,51,40,46,51,68,78,England,EFL League One,Wrexham,29,"188cm / 6'2""",80kg / 176lb,CB
Stefan Schimmer,68,64,68,48,63,29,72,Germany,Bundesliga,Heidenheim,30,"184cm / 6'0""",86kg / 190lb,ST
Lukas Schleimer,68,70,61,63,71,44,52,Germany,Bundesliga 2,1. FC Nürnberg,24,"180cm / 5'11""",73kg / 161lb,CAM
Alessandro Schöpf,68,69,65,67,69,61,69,Austria,MLS,Whitecaps FC,30,"178cm / 5'10""",74kg / 163lb,CM
Marvin Schulz,68,66,63,63,67,68,70,Germany,Bundesliga,Holstein Kiel,29,"186cm / 6'1""",85kg / 187lb,CB
Iñigo Piña,68,65,33,50,50,69,65,Spain,LALIGA HYPERMOTION,CD Eldense,29,"188cm / 6'2""",80kg / 176lb,CB
Rubin Seigers,68,66,25,57,51,69,67,Belgium,1A Pro League,KVC Westerlo,26,"189cm / 6'2""",83kg / 183lb,CB
Seo Jin Su,68,82,68,58,71,22,65,Korea Republic,K League 1,Jeju United,23,"183cm / 6'0""",71kg / 157lb,ST
Seo Min Woo,68,60,54,62,66,65,78,Korea Republic,K League 1,Gimcheon Sangmu,26,"184cm / 6'0""",75kg / 165lb,CM
Claudio Sepúlveda,68,59,58,60,58,63,69,Chile,Libertadores,Huachipato,32,"175cm / 5'9""",76kg / 168lb,CDM
Mats Seuntjens,68,75,68,68,67,51,71,Holland,LALIGA HYPERMOTION,CD Castellón,32,"187cm / 6'2""",81kg / 179lb,ST
Edgar Sevikyan,68,69,64,63,71,31,58,Armenia,Magyar Liga,Ferencvárosi TC,23,"178cm / 5'10""",69kg / 152lb,CAM
Josh Sheehan,68,79,57,69,71,62,64,Wales,EFL League One,Bolton,29,"172cm / 5'8""",75kg / 165lb,CDM
Maryan Shved,68,72,68,62,72,38,48,Ukraine,Ukrayina Liha,Shakhtar Donetsk,27,"171cm / 5'7""",63kg / 139lb,RM
Toby Sibbick,68,75,31,53,61,69,71,England,EFL League One,Wigan Athletic,25,"188cm / 6'2""",75kg / 165lb,CB
Carlo Sickinger,68,62,49,60,65,69,69,Germany,Bundesliga 2,SV Elversberg,27,"183cm / 6'0""",78kg / 172lb,CB
Igor Silva,68,74,53,62,71,64,63,Brazil,Ligue 2 BKT,FC Lorient,28,"173cm / 5'8""",66kg / 146lb,RB
Marco Matias,68,74,67,63,70,36,59,Portugal,Liga Portugal,Farense,35,"177cm / 5'10""",73kg / 161lb,LM
Jean Carlos,68,85,60,63,64,45,66,Brazil,PKO BP Ekstraklasa,Raków,28,"185cm / 6'1""",77kg / 170lb,LM
Roko Šimić,68,64,68,62,69,30,76,Croatia,1A Pro League,KV Kortrijk,21,"190cm / 6'3""",80kg / 176lb,ST
Danel Sinani,68,69,66,68,68,41,65,Luxembourg,Bundesliga,FC St. Pauli,27,"185cm / 6'1""",70kg / 154lb,RM
Doğukan Sinik,68,81,62,64,72,38,48,Turkey,EFL Championship,Hull City,25,"180cm / 5'11""",71kg / 157lb,LM
Tobias Sippel,68,67,65,74,67,47,66,Germany,Bundesliga,M'gladbach,36,"183cm / 6'0""",80kg / 176lb,GK
Jonathan Sirois,68,69,65,55,69,34,69,Canada,MLS,CF Montréal,23,"187cm / 6'2""",74kg / 163lb,GK
Abdoulaye Sissako,68,71,58,65,72,64,77,France,1A Pro League,KV Kortrijk,26,"186cm / 6'1""",81kg / 179lb,CM
Maxime Sivis,68,76,58,60,66,62,73,France,SUPERLIGA,FC Dinamo 1948,26,"173cm / 5'8""",73kg / 161lb,RB
Tom Slončík,68,67,67,67,70,42,59,Czech Republic,Česká Liga,Viktoria Plzeň,19,"183cm / 6'0""",73kg / 161lb,CAM
Gabriel Magalhães Slonina,68,70,65,63,70,45,65,United States,EFL League One,Barnsley,20,"193cm / 6'4""",89kg / 196lb,GK
Sam Smith,68,74,66,57,66,29,76,England,EFL League One,Reading,26,"185cm / 6'1""",73kg / 161lb,ST
Paul Smyth,68,90,59,60,71,40,55,Northern Ireland,EFL Championship,QPR,27,"173cm / 5'8""",69kg / 152lb,RM
Soberón,68,70,69,56,67,34,53,Spain,LALIGA HYPERMOTION,Real Zaragoza,27,"175cm / 5'9""",68kg / 150lb,ST
Dejan Sorgić,68,63,69,62,69,41,65,Switzerland,CSSL,FC Sion,34,"177cm / 5'10""",70kg / 154lb,ST
Gonzalo Sosa,68,53,71,45,62,21,67,Argentina,Libertadores,Palestino,35,"185cm / 6'1""",78kg / 172lb,ST
Eduardo Sosa,68,70,68,62,72,39,64,Venezuela,Sudamericana,Deportes Tolima,28,"170cm / 5'7""",75kg / 165lb,CAM
Guillermo Soto,68,77,27,61,66,63,62,Chile,Sudamericana,Uni. Católica,30,"177cm / 5'10""",69kg / 152lb,RB
Sambou Soumano,68,69,69,52,69,25,53,Senegal,Ligue 2 BKT,FC Lorient,23,"182cm / 6'0""",75kg / 165lb,ST
Issa Soumaré,68,82,64,59,68,19,61,Senegal,Ligue 1 McDonald's,Havre AC,23,"182cm / 6'0""",78kg / 172lb,LM
Furkan Soyalp,68,70,62,69,70,54,64,Turkey,Trendyol Süper Lig,Gaziantep,29,"175cm / 5'9""",68kg / 150lb,CM
Blair Spittal,68,75,67,68,70,55,67,Scotland,Scottish Prem,Hearts,28,"184cm / 6'0""",77kg / 170lb,CM
Dennis Srbeny,68,64,66,59,68,33,71,Germany,Bundesliga 2,Fürth,30,"190cm / 6'3""",84kg / 185lb,ST
Apostolos Stamatelopoulos,68,70,66,58,65,40,79,Australia,Scottish Prem,Motherwell,25,"184cm / 6'0""",84kg / 185lb,ST
Jozo Stanić,68,61,28,57,59,68,75,Croatia,CSSL,FC St. Gallen,25,"184cm / 6'0""",80kg / 176lb,CB
Lucas Stassin,68,69,72,63,68,34,57,Belgium,Ligue 1 McDonald's,AS Saint-Étienne,19,"183cm / 6'0""",71kg / 157lb,ST
Jed Steer,68,69,67,67,68,51,68,England,EFL League One,Peterborough,31,"183cm / 6'0""",80kg / 176lb,GK
Enda Stevens,68,63,45,63,65,65,73,Republic of Ireland,EFL Championship,Stoke City,34,"183cm / 6'0""",78kg / 172lb,LB
Paul Stock,68,68,65,67,66,54,74,Germany,Bundesliga 2,SV Elversberg,27,"188cm / 6'2""",86kg / 190lb,CAM
Luca Strizzolo,68,71,66,56,64,32,74,Italy,Serie BKT,Cosenza,32,"188cm / 6'2""",83kg / 183lb,ST
Brad Stuver,68,68,68,66,69,47,68,United States,MLS,Austin FC,33,"191cm / 6'3""",81kg / 179lb,GK
Boško Šutalo,68,60,44,56,62,70,67,Croatia,1A Pro League,Standard Liège,24,"188cm / 6'2""",72kg / 159lb,CB
Yuito Suzuki,68,73,68,63,72,48,52,Japan,3F Superliga,Brøndby IF,22,"175cm / 5'9""",66kg / 146lb,CAM
Sander Svendsen,68,82,64,62,70,36,66,Norway,Eliteserien,Viking FK,27,"172cm / 5'8""",67kg / 148lb,RW
Gábor Szalai,68,54,38,41,46,67,76,Hungary,CSSL,Lausanne-Sport,24,"191cm / 6'3""",87kg / 192lb,CB
Péter Szappanos,68,66,63,60,74,24,65,Hungary,ROSHN Saudi League,Al Fateh,33,"194cm / 6'4""",93kg / 205lb,GK
Patryk Szysz,68,84,69,59,68,33,70,Poland,Trendyol Süper Lig,Başakşehir,26,"177cm / 5'10""",70kg / 154lb,RM
Waniss Taïbi,68,53,50,68,69,56,66,France,Ligue 2 BKT,Rodez AF,22,"184cm / 6'0""",70kg / 154lb,CM
Maksym Taloverov,68,58,38,54,57,67,75,Ukraine,Ö. Bundesliga,LASK,24,"195cm / 6'5""",84kg / 185lb,CB
Tang Xin,68,76,32,48,61,64,71,China PR,CSL,Rongcheng FC,33,"176cm / 5'9""",69kg / 152lb,RB
Tang Miao,68,80,42,63,67,60,78,China PR,CSL,Rongcheng FC,33,"176cm / 5'9""",76kg / 168lb,RB
George Tanner,68,71,43,55,65,65,67,England,EFL Championship,Bristol City,24,"181cm / 5'11""",71kg / 157lb,RB
Gonzalo Tapia,68,79,61,58,69,25,67,Chile,Sudamericana,Uni. Católica,22,"178cm / 5'10""",78kg / 172lb,RM
Yohan Tavares,68,55,41,52,56,68,72,Portugal,Ligue 2 BKT,Laval MFC,36,"188cm / 6'2""",83kg / 183lb,CB
Elayis Tavşan,68,79,64,62,71,24,55,Holland,Serie BKT,Cesena,23,"183cm / 6'0""",74kg / 163lb,RW
Jack Taylor,68,72,65,64,67,64,71,Republic of Ireland,Premier League,Ipswich,26,"185cm / 6'1""",70kg / 154lb,CDM
Duplexe Tchamba,68,69,35,45,54,67,78,Cameroon,Liga Portugal,Casa Pia AC,26,"191cm / 6'3""",79kg / 174lb,CB
Malik Tchokounté,68,40,69,54,64,24,79,France,Ligue 2 BKT,Laval MFC,36,"186cm / 6'1""",80kg / 176lb,ST
Bryan Teixeira,68,81,65,65,72,48,67,Cape Verde Islands,Bundesliga 2,1. FC Magdeburg,24,"174cm / 5'9""",73kg / 161lb,ST
Lino Tempelmann,68,76,56,64,70,66,68,Germany,Bundesliga 2,FC Schalke 04,25,"175cm / 5'9""",75kg / 165lb,CM
Robert Tesche,68,39,66,68,67,68,69,Germany,3. Liga,VfL Osnabrück,37,"182cm / 6'0""",78kg / 172lb,CM
Jamal Thiaré,68,87,65,56,69,22,72,Senegal,MLS,Atlanta United,31,"180cm / 5'11""",68kg / 150lb,ST
Stefán Teitur Thórdarson,68,60,65,64,65,62,69,Iceland,EFL Championship,Preston,25,"189cm / 6'2""",76kg / 168lb,CM
Konstantinos Thymianis,68,61,49,56,61,66,73,Greece,Hellas Liga,PAOK FC,23,"186cm / 6'1""",74kg / 163lb,CDM
Mohamed Tijani,68,66,37,53,58,65,76,Benin,CSSL,Yverdon Sport FC,27,"190cm / 6'3""",90kg / 198lb,CB
David Tijanić,68,75,66,66,73,49,67,Slovenia,Trendyol Süper Lig,Göztepe,27,"174cm / 5'9""",67kg / 148lb,CAM
Eoin Toal,68,50,31,43,53,67,77,Northern Ireland,EFL League One,Bolton,25,"191cm / 6'3""",80kg / 176lb,CB
Bastien Toma,68,64,63,66,72,63,67,Switzerland,CSSL,FC St. Gallen,25,"174cm / 5'9""",67kg / 148lb,CM
Guti,68,41,29,50,48,67,71,Brazil,Sudamericana,Sport Huancayo,33,"187cm / 6'2""",83kg / 183lb,CB
Jon Toral,68,70,61,69,67,50,47,Spain,ISL,Mumbai City FC,29,"184cm / 6'0""",77kg / 170lb,CAM
Tidjany Touré,68,83,61,60,71,26,62,France,Liga Portugal,Gil Vicente,22,"184cm / 6'0""",74kg / 163lb,LM
Mathys Tourraine,68,76,39,56,64,63,61,Morocco,Ligue 2 BKT,Paris FC,23,"170cm / 5'7""",68kg / 150lb,RB
Lisandru Tramoni,68,79,61,65,69,42,62,France,Ligue 2 BKT,SC Bastia,21,"180cm / 5'11""",62kg / 137lb,RM
Bénie Traoré,68,86,65,54,75,32,63,Côte d'Ivoire,CSSL,FC Basel 1893,21,"172cm / 5'8""",64kg / 141lb,ST
Wil Trapp,68,48,50,65,68,64,66,United States,MLS,Minnesota United,31,"173cm / 5'8""",69kg / 152lb,CDM
Arnór Ingvi Traustason,68,78,68,68,70,58,74,Iceland,Allsvenskan,IFK Norrköping,31,"183cm / 6'0""",75kg / 165lb,CM
Franco Troyansky,68,75,67,63,70,36,72,Argentina,Primera División,Gimnasia,27,"178cm / 5'10""",77kg / 170lb,ST
Kevin Tshiembe,68,74,40,53,56,66,78,Denmark,3F Superliga,Brøndby IF,27,"186cm / 6'1""",80kg / 176lb,CB
Turrientes,68,66,51,69,67,60,53,Spain,LALIGA EA SPORTS,Real Sociedad,22,"181cm / 5'11""",70kg / 154lb,CM
Marián Tvrdoň,68,69,67,68,71,30,70,Slovakia,Česká Liga,Viktoria Plzeň,30,"194cm / 6'4""",85kg / 187lb,GK
Naci Ünüvar,68,64,61,68,73,37,45,Turkey,LALIGA EA SPORTS,RCD Espanyol,21,"168cm / 5'6""",63kg / 139lb,LW
Luciano Ursino,68,67,66,69,71,54,56,Bolivia,Libertadores,The Strongest,35,"180cm / 5'11""",77kg / 170lb,CM
Ramiro Vaca,68,74,68,67,71,26,40,Bolivia,Libertadores,Bolívar,25,"176cm / 5'9""",61kg / 134lb,CAM
Hakon Valdimarsson,68,68,65,64,69,20,68,Iceland,Premier League,Brentford,22,"195cm / 6'5""",89kg / 196lb,GK
Ever Valencia,68,84,55,60,70,44,61,Colombia,Sudamericana,América de Cali,27,"175cm / 5'9""",70kg / 154lb,LM
Milton Valenzuela,68,75,44,65,68,62,69,Argentina,CSSL,FC Lugano,26,"170cm / 5'7""",65kg / 143lb,LB
Valera,68,83,62,61,71,26,42,Spain,LALIGA EA SPORTS,Valencia CF,22,"170cm / 5'7""",68kg / 150lb,RM
Álex Valle,68,72,46,64,68,62,67,Spain,LALIGA EA SPORTS,FC Barcelona,20,"183cm / 6'0""",57kg / 126lb,LB
Jules Van Cleemput,68,71,31,63,66,68,70,Belgium,1A Pro League,KV Mechelen,27,"183cm / 6'0""",73kg / 161lb,CB
Tom van de Looi,68,67,65,67,69,64,72,Holland,Liga Portugal,FC Famalicão,25,"186cm / 6'1""",80kg / 176lb,CDM
Davy van den Berg,68,66,66,66,67,60,75,Holland,Eredivisie,PEC Zwolle,24,"185cm / 6'1""",75kg / 165lb,CM
Jan Van den Bergh,68,65,52,60,63,69,71,Belgium,Eredivisie,NAC Breda,29,"188cm / 6'2""",78kg / 172lb,CB
Djevencio van der Kust,68,87,40,55,66,60,61,Suriname,Eredivisie,Sparta Rotterdam,23,"168cm / 5'6""",60kg / 132lb,LB
Tom Vandenberghe,68,68,65,61,69,29,70,Belgium,1A Pro League,KV Kortrijk,32,"190cm / 6'3""",78kg / 172lb,GK
Jonathan Varane,68,59,46,62,65,66,72,France,EFL Championship,QPR,23,"185cm / 6'1""",75kg / 165lb,CDM
Cristopher Varela,68,64,68,71,70,33,65,Venezuela,Sudamericana,Dep. La Guaira,24,"187cm / 6'2""",74kg / 163lb,GK
José Varela,68,66,64,71,69,52,57,Uruguay,Sudamericana,Racing Club,36,"178cm / 5'10""",74kg / 163lb,CM
Diego Pampín,68,70,40,61,64,64,61,Spain,LALIGA HYPERMOTION,Levante UD,24,"173cm / 5'8""",65kg / 143lb,LB
Dal Varešanović,68,65,63,65,70,40,53,Bosnia and Herzegovina,Trendyol Süper Lig,Çaykur Rizespor,23,"177cm / 5'10""",73kg / 161lb,CAM
Kenneth Vargas,68,82,69,50,68,22,54,Costa Rica,Scottish Prem,Hearts,22,"175cm / 5'9""",70kg / 154lb,ST
Kerwin Vargas,68,81,59,66,69,31,59,Colombia,MLS,Charlotte FC,22,"182cm / 6'0""",74kg / 163lb,LW
Aljoša Vasić,68,77,64,68,73,66,68,Serbia,Serie BKT,Palermo,22,"188cm / 6'2""",78kg / 172lb,CM
Devis Vásquez,68,67,66,68,71,38,64,Colombia,Serie A Enilive,Empoli,26,"195cm / 6'5""",93kg / 205lb,GK
Ignacio Vázquez,68,43,29,40,43,70,77,Argentina,Primera División,Platense,27,"188cm / 6'2""",84kg / 185lb,CB
Román Vega,68,71,31,60,65,63,67,Argentina,Sudamericana,Argentinos Jrs.,20,"177cm / 5'10""",74kg / 163lb,LB
Dylan Vente,68,74,68,55,66,27,57,Holland,Eredivisie,PEC Zwolle,25,"181cm / 5'11""",70kg / 154lb,ST
Jesper Verlaat,68,50,26,47,55,67,79,Holland,3. Liga,1860 München,28,"192cm / 6'4""",87kg / 192lb,CB
Clément Vidal,68,47,35,47,57,69,68,France,Ligue 2 BKT,AC Ajaccio,24,"181cm / 5'11""",76kg / 168lb,CB
Gabriel Magalhães Vidović,68,67,67,61,74,26,53,Croatia,Bundesliga,1. FSV Mainz 05,20,"180cm / 5'11""",76kg / 168lb,LW
Vieirinha,68,64,73,73,72,65,57,Portugal,Hellas Liga,PAOK FC,38,"172cm / 5'8""",73kg / 161lb,LB
Leonardo Villagra,68,70,70,58,63,23,66,Paraguay,Sudamericana,S. Ameliano,34,"181cm / 5'11""",79kg / 174lb,ST
Guido Villar,68,68,65,65,69,18,66,Argentina,Libertadores,IDV,29,"193cm / 6'4""",79kg / 174lb,GK
Žan Vipotnik,68,63,68,55,66,22,62,Slovenia,EFL Championship,Swansea City,22,"185cm / 6'1""",81kg / 179lb,ST
Tabaré Viudez,68,67,68,70,71,26,54,Uruguay,Sudamericana,Wanderers,35,"166cm / 5'5""",64kg / 141lb,RM
Kostyantyn Vivcharenko,68,71,48,64,67,64,65,Ukraine,Ukrayina Liha,Dynamo Kyiv,22,"178cm / 5'10""",76kg / 168lb,LB
Kevin Viveros,68,75,63,65,71,49,55,Colombia,Liga Colombia,Atl. Nacional,24,"180cm / 5'11""",77kg / 170lb,RM
Cristian Volpato,68,61,64,67,70,39,60,Italy,Serie BKT,Sassuolo,20,"187cm / 6'2""",78kg / 172lb,CAM
Linus Egnell Wahlqvist,68,86,51,61,64,61,79,Sweden,PKO BP Ekstraklasa,Pogoń Szczecin,27,"185cm / 6'1""",80kg / 176lb,RB
Sandy Walsh,68,58,37,61,64,66,72,Indonesia,1A Pro League,KV Mechelen,29,"185cm / 6'1""",73kg / 161lb,RB
Christian Walton,68,69,68,64,69,35,66,England,Premier League,Ipswich,28,"195cm / 6'5""",72kg / 159lb,GK
Wang Shangyuan,68,72,61,68,69,65,80,China PR,CSL,Henan FC,31,"185cm / 6'1""",78kg / 172lb,CM
Paul Wanner,68,69,55,66,73,44,49,Germany,Bundesliga,Heidenheim,18,"185cm / 6'1""",75kg / 165lb,CAM
Duncan Watmore,68,81,67,62,69,36,62,England,EFL Championship,Millwall,30,"175cm / 5'9""",72kg / 159lb,ST
Bartłomiej Wdowik,68,74,61,67,66,61,65,Poland,Bundesliga 2,Hannover 96,23,"184cm / 6'0""",72kg / 159lb,LB
Wei Shihao,68,87,62,61,71,35,64,China PR,CSL,Rongcheng FC,29,"178cm / 5'10""",65kg / 143lb,LM
Nahki Wells,68,73,68,63,68,44,65,Bermuda,EFL Championship,Bristol City,34,"170cm / 5'7""",69kg / 152lb,ST
Stephen Welsh,68,66,31,57,62,67,69,Scotland,Scottish Prem,Celtic,24,"191cm / 6'3""",78kg / 172lb,CB
Erick Wiemberg,68,70,51,62,64,65,72,Chile,Libertadores,Colo-Colo,30,"178cm / 5'10""",67kg / 148lb,LB
Caleb Wiley,68,76,52,63,72,62,63,United States,Ligue 1 McDonald's,Strasbourg,19,"178cm / 5'10""",73kg / 161lb,LB
Jetro Willems,68,64,63,69,68,66,72,Holland,LALIGA HYPERMOTION,CD Castellón,30,"177cm / 5'10""",87kg / 192lb,LB
Loïc Williams,68,69,37,53,59,67,77,Spain,LALIGA HYPERMOTION,Granada CF,22,"188cm / 6'2""",74kg / 163lb,CB
Ben Wilson,68,71,67,62,72,44,65,England,EFL Championship,Coventry City,32,"190cm / 6'3""",76kg / 168lb,GK
